id,name,gender,paid,isFiliated,state,date,plan
1,Goofy Payne,Não-binário,623.73,True,SC,04-01-2024,Pro
2,Zen Mccarthy,Não-binário,827.08,False,PB,18-04-2021,Standard
3,Inspiring Hofstadter,Masculino,480.45,False,PI,05-01-2020,Free
4,Focused Gauss,Não-binário,623.07,True,PI,01-05-2020,Pro
5,Ecstatic Kilby,Masculino,813.21,False,GO,18-02-2022,Standard
6,Nostalgic Spence,Feminino,157.36,False,ES,09-11-2021,Free
7,Musing Babbage,Masculino,773.2,True,SC,16-11-2024,Pro
8,Nice Bassi,Feminino,189.29,False,AP,17-09-2020,Free
10,Fervent Mccarthy,Feminino,413.04,True,AP,05-03-2023,Pro
11,Mystifying Lalande,Masculino,1969.37,False,AC,25-11-2021,Pro
12,Recursing Shirley,Masculino,636.8,True,RR,21-05-2023,Pro
13,Festive Heyrovsky,Não-binário,1563.27,False,BA,18-10-2023,Standard
14,Nice Moser,Não-binário,438.83,False,MS,12-10-2024,Free
15,Dreamy Fermi,Feminino,453.16,False,AC,21-10-2020,Free
16,Adoring Edison,Feminino,707.78,True,MT,30-01-2020,Pro
17,Festive Banzai,Não-binário,2385.58,True,PA,24-08-2022,Premium
18,Heuristic Tereshkova,Masculino,456.72,False,CE,10-01-2024,Free
19,Magical Ellis,Masculino,966.81,True,PR,10-05-2021,Pro
20,Silly Villani,Feminino,168.67,False,MT,01-02-2022,Free
21,Admiring Murdock,Não-binário,590.48,True,CE,27-04-2024,Pro
22,Serene Kilby,Não-binário,407.7,True,BA,21-08-2022,Pro
23,Serene Rosalind,Feminino,235.8,True,RR,20-04-2021,Pro
24,Beautiful Sutherland,Não-binário,218.09,True,RN,12-03-2020,Pro
25,Quirky Newton,Masculino,65.15,False,BA,04-01-2023,Free
26,Interesting Mclean,Masculino,573.26,False,PE,23-10-2023,Free
27,Jolly Jemison,Não-binário,2112.27,False,RS,06-09-2024,Pro
28,Trusting Haibt,Não-binário,1040.06,True,GO,07-07-2023,Pro
29,Fervent Faraday,Feminino,1857.03,True,SP,12-10-2023,Premium
30,Keen Varahamihira,Não-binário,1432.07,False,SE,26-10-2022,Standard
31,Friendly Kare,Não-binário,927.25,True,SP,07-07-2020,Pro
32,Cool Albattani,Feminino,261.28,False,RJ,21-10-2024,Free
33,Hopeful Germain,Não-binário,78.4,False,MS,01-07-2024,Free
34,Hungry Goldstine,Feminino,1483.95,True,PR,14-11-2023,Pro
35,Elegant Vaughan,Feminino,254.32,True,AP,27-12-2024,Pro
36,Busy Kepler,Feminino,2621.68,True,RN,16-04-2023,Premium
37,Objective Diffie,Masculino,917.54,False,MA,14-01-2024,Standard
38,Determined Liskov,Masculino,2252.56,True,AL,03-01-2022,Premium
39,Frosty Heyrovsky,Não-binário,859.94,True,PE,31-05-2022,Pro
40,Affectionate Torvalds,Não-binário,2273.42,False,GO,14-05-2024,Pro
41,Wonderful Wilson,Não-binário,596.0,False,MG,09-06-2023,Free
42,Gallant Fermat,Masculino,777.45,True,PA,23-06-2024,Pro
43,Heuristic Proskuriakova,Feminino,2477.3,False,SP,22-03-2022,Pro
44,Nervous Robinson,Masculino,746.05,True,CE,03-04-2022,Pro
45,Jovial Borg,Masculino,173.73,True,SP,11-05-2022,Pro
46,Jovial Mayer,Feminino,631.35,True,SE,08-08-2023,Pro
47,Busy Snyder,Não-binário,182.98,False,PR,11-01-2021,Free
48,Tender Chandrasekhar,Não-binário,838.24,False,MT,07-08-2020,Standard
49,Optimistic Dijkstra,Feminino,574.23,True,TO,04-07-2022,Pro
50,Beautiful Ramanujan,Não-binário,2345.67,True,AP,25-05-2020,Premium
51,Hungry Dirac,Masculino,930.76,True,AP,20-04-2022,Pro
52,Optimistic Aryabhata,Masculino,2888.87,False,BA,27-04-2023,Pro
53,Objective Pike,Feminino,246.41,True,RN,23-01-2021,Pro
54,Nostalgic Brown,Não-binário,2043.83,True,GO,21-01-2023,Premium
55,Ecstatic Dijkstra,Masculino,223.54,False,AP,13-04-2021,Free
56,Infallible Snyder,Masculino,1953.33,False,TO,30-12-2023,Pro
57,Focused Lederberg,Não-binário,2328.84,False,RJ,15-03-2020,Pro
58,Elated Dubinsky,Não-binário,1562.43,False,SP,28-02-2021,Standard
59,Musing Gagarin,Feminino,2713.46,True,PE,03-10-2022,Premium
61,Blissful Khayyam,Feminino,787.54,True,RS,27-03-2020,Pro
62,Festive Bassi,Não-binário,2452.81,False,MS,26-12-2024,Pro
64,Sharp Davinci,Não-binário,1049.05,True,PA,29-07-2023,Pro
65,Focused Yalow,Não-binário,1443.0,True,AC,11-12-2023,Pro
66,Zen Liskov,Feminino,2409.89,False,PE,25-01-2021,Pro
67,Agitated Dijkstra,Masculino,570.85,True,MA,17-05-2022,Pro
68,Admiring Stonebraker,Masculino,2871.69,False,RS,27-09-2020,Pro
69,Busy Gauss,Não-binário,1481.71,True,MA,06-06-2021,Pro
70,Dazzling Rhodes,Masculino,1298.72,True,MS,08-09-2021,Pro
71,Condescending Heyrovsky,Masculino,2724.32,True,SE,22-05-2021,Premium
72,Priceless Borg,Feminino,535.11,True,TO,30-12-2020,Pro
73,Ecstatic Antonelli,Não-binário,477.69,False,PB,15-03-2024,Free
74,Silly Shtern,Masculino,915.88,True,GO,24-11-2023,Pro
75,Friendly Leavitt,Masculino,2923.91,True,MT,13-06-2023,Premium
76,Affectionate Williamson,Feminino,2213.71,True,MS,13-06-2020,Premium
77,Wonderful Chatelet,Não-binário,1398.73,True,MT,02-09-2023,Pro
78,Vibrant Montalcini,Não-binário,469.31,True,PR,20-09-2023,Pro
79,Bold Heyrovsky,Masculino,1897.74,False,MS,09-12-2022,Pro
80,Recursing Ride,Feminino,2970.0,False,TO,23-06-2020,Pro
82,Lucid Mclaren,Não-binário,936.48,True,TO,04-03-2020,Pro
83,Vigilant Tesla,Não-binário,601.17,True,RR,02-06-2021,Pro
84,Serene Fermi,Não-binário,2059.17,False,SP,26-07-2021,Pro
85,Awesome Pare,Feminino,5.85,False,PB,09-09-2020,Free
86,Nostalgic Pascal,Masculino,1196.58,True,RN,19-09-2022,Pro
87,Boring Khayyam,Masculino,1690.85,False,PE,04-03-2021,Standard
88,Silly Galois,Feminino,972.05,False,RR,24-10-2020,Standard
89,Gifted Aryabhata,Não-binário,508.44,True,GO,11-07-2021,Pro
90,Quirky Taussig,Feminino,728.92,False,DF,25-07-2023,Standard
91,Nifty Driscoll,Masculino,187.68,False,SC,22-03-2022,Free
92,Affectionate Tharp,Feminino,2956.63,False,CE,08-06-2024,Pro
93,Cool Lamarr,Masculino,1228.52,False,TO,20-12-2022,Standard
94,Vigorous Swartz,Masculino,739.25,True,AC,14-08-2023,Pro
95,Quizzical Feynman,Não-binário,2073.97,False,AM,22-03-2020,Pro
96,Laughing Mendeleev,Não-binário,569.4,False,AL,04-04-2020,Free
97,Objective Mayer,Masculino,326.4,True,BA,01-04-2024,Pro
98,Wizardly Perlman,Não-binário,449.91,True,PI,01-07-2020,Pro
99,Dazzling Hoover,Masculino,119.75,True,SC,30-03-2024,Pro
101,Mystifying Ardinghelli,Masculino,37.48,False,TO,14-01-2020,Free
102,Tender Faraday,Masculino,346.42,False,MT,19-05-2023,Free
103,Objective Hofstadter,Masculino,162.26,True,PA,13-04-2021,Pro
104,Exciting Diffie,Feminino,569.07,False,SE,15-05-2022,Free
105,Hardcore Fermat,Feminino,81.03,False,SC,19-05-2021,Free
106,Frosty Brahmagupta,Não-binário,884.39,True,PE,10-03-2022,Pro
107,Loving Driscoll,Não-binário,725.07,False,RR,16-03-2024,Standard
108,Magical Poincare,Masculino,539.26,False,MS,03-03-2021,Free
109,Blissful Hugle,Feminino,2187.49,False,RR,06-07-2024,Pro
110,Quirky Buck,Feminino,830.77,False,CE,13-01-2022,Standard
111,Serene Clarke,Masculino,133.02,False,AL,29-04-2023,Free
112,Thirsty Raman,Não-binário,942.59,False,BA,02-11-2021,Standard
113,Zealous Elion,Feminino,1200.11,True,MT,24-05-2023,Pro
115,Happy Poincare,Não-binário,1677.79,False,RS,11-07-2022,Standard
116,Ecstatic Buck,Masculino,917.47,False,MG,19-11-2023,Standard
117,Competent Noyce,Masculino,1636.39,False,RJ,23-11-2023,Standard
118,Laughing Neumann,Não-binário,347.27,True,SC,14-03-2022,Pro
119,Busy Swirles,Masculino,34.59,True,MA,21-12-2020,Pro
120,Hungry Gould,Não-binário,2366.01,False,RJ,06-08-2023,Pro
121,Admiring Goldwasser,Masculino,511.25,False,MS,27-09-2024,Free
122,Romantic Neumann,Masculino,2945.47,True,DF,13-04-2020,Premium
123,Kind Mirzakhani,Não-binário,2163.79,False,SC,28-06-2022,Pro
124,Pensive Dhawan,Não-binário,496.5,True,SE,24-05-2021,Pro
125,Elastic Pike,Não-binário,15.82,False,GO,22-02-2021,Free
126,Zealous Wiles,Masculino,836.52,False,PB,09-10-2022,Standard
127,Stoic Hugle,Não-binário,2971.47,False,SC,04-11-2024,Pro
128,Unruffled Bardeen,Masculino,2541.64,False,PB,04-02-2021,Pro
129,Clever Lewin,Não-binário,512.33,False,PA,18-11-2024,Free
130,Quirky Banzai,Feminino,1517.57,True,DF,28-08-2024,Pro
131,Intelligent Austin,Masculino,2800.41,False,MA,20-04-2021,Pro
132,Frosty Goldstine,Não-binário,984.31,False,RR,15-07-2021,Standard
133,Inspiring Thompson,Não-binário,948.81,False,MT,14-06-2021,Standard
134,Nifty Dewdney,Feminino,2960.89,True,RS,14-04-2021,Premium
135,Ecstatic Torvalds,Masculino,352.16,True,PR,11-06-2024,Pro
136,Zen Neumann,Não-binário,7.16,False,MA,26-01-2020,Free
137,Sharp Napier,Não-binário,254.2,True,GO,03-12-2024,Pro
138,Nice Blackwell,Não-binário,1588.67,True,PE,23-05-2020,Pro
139,Upbeat Curie,Feminino,913.11,True,RJ,18-10-2024,Pro
140,Goofy Neumann,Não-binário,389.83,True,BA,20-08-2022,Pro
141,Stupefied Booth,Feminino,1064.48,False,CE,17-12-2020,Standard
142,Objective Carson,Masculino,222.06,True,AM,03-11-2022,Pro
143,Musing Elgamal,Feminino,132.17,False,PE,01-10-2022,Free
144,Nice Curran,Masculino,957.75,True,RR,08-08-2022,Pro
145,Focused Wright,Não-binário,904.64,False,TO,15-11-2020,Standard
146,Peaceful Leavitt,Masculino,721.91,False,PR,06-03-2023,Standard
147,Zen Ishizaka,Feminino,1755.32,False,PI,11-07-2022,Standard
148,Modest Sinoussi,Feminino,373.31,False,PB,03-10-2024,Free
149,Intelligent Khayyam,Feminino,330.42,True,AC,19-03-2023,Pro
150,Relaxed Robinson,Feminino,988.65,True,GO,22-05-2020,Pro
